rank,niche,city,opportunity_score,niche_score,city_score,est_monthly_rent_usd,avg_job_value_usd,best_lead_model
1,Water Damage Restoration,"Boise, ID",82.2,85.0,78.0,2900,3500,pay_per_lead
2,Water Damage Restoration,"Raleigh, NC",81.0,85.0,75.0,3050,3500,pay_per_lead
3,Water Damage Restoration,"Austin, TX",80.8,85.0,74.5,3100,3500,pay_per_lead
4,Water Damage Restoration,"Cape Coral-Fort Myers, FL",80.8,85.0,74.5,2900,3500,pay_per_lead
5,Water Damage Restoration,"Greenville, SC",80.8,85.0,74.5,2850,3500,pay_per_lead
6,Water Damage Restoration,"Phoenix, AZ",80.6,85.0,74.0,3100,3500,pay_per_lead
7,Water Damage Restoration,"Dallas-Fort Worth, TX",80.4,85.0,73.5,3150,3500,pay_per_lead
8,Water Damage Restoration,"Huntsville, AL",80.0,85.0,72.5,2850,3500,pay_per_lead
9,Water Damage Restoration,"Charleston, SC",79.8,85.0,72.0,2900,3500,pay_per_lead
10,Water Damage Restoration,"Colorado Springs, CO",79.8,85.0,72.0,2900,3500,pay_per_lead
11,Water Damage Restoration,"Houston, TX",79.4,85.0,71.0,3150,3500,pay_per_lead
12,Water Damage Restoration,"Tampa, FL",79.4,85.0,71.0,3050,3500,pay_per_lead
13,Water Damage Restoration,"Orlando, FL",79.4,85.0,71.0,3050,3500,pay_per_lead
14,Water Damage Restoration,"Charlotte, NC",79.4,85.0,71.0,3050,3500,pay_per_lead
15,Water Damage Restoration,"Nashville, TN",79.4,85.0,71.0,3050,3500,pay_per_lead
16,Water Damage Restoration,"San Antonio, TX",79.4,85.0,71.0,2950,3500,pay_per_lead
17,Water Damage Restoration,"Oklahoma City, OK",78.6,85.0,69.0,2900,3500,pay_per_lead
18,Water Damage Restoration,"Atlanta, GA",78.2,85.0,68.0,3100,3500,pay_per_lead
19,Water Damage Restoration,"Jacksonville, FL",78.2,85.0,68.0,2900,3500,pay_per_lead
20,Water Damage Restoration,"Las Vegas, NV",78.0,85.0,67.5,2950,3500,pay_per_lead
21,HVAC Repair & Install,"Boise, ID",77.7,77.5,78.0,2650,6000,ppl_or_revshare
22,Mold Remediation,"Boise, ID",77.7,77.5,78.0,2250,3500,pay_per_lead
23,HVAC Repair & Install,"Raleigh, NC",76.5,77.5,75.0,2750,6000,ppl_or_revshare
24,Mold Remediation,"Raleigh, NC",76.5,77.5,75.0,2300,3500,pay_per_lead
25,HVAC Repair & Install,"Austin, TX",76.3,77.5,74.5,2800,6000,ppl_or_revshare
26,HVAC Repair & Install,"Cape Coral-Fort Myers, FL",76.3,77.5,74.5,2650,6000,ppl_or_revshare
27,HVAC Repair & Install,"Greenville, SC",76.3,77.5,74.5,2600,6000,ppl_or_revshare
28,Mold Remediation,"Austin, TX",76.3,77.5,74.5,2350,3500,pay_per_lead
29,Mold Remediation,"Cape Coral-Fort Myers, FL",76.3,77.5,74.5,2250,3500,pay_per_lead
30,Mold Remediation,"Greenville, SC",76.3,77.5,74.5,2200,3500,pay_per_lead
31,Roofing (Repair & Storm),"Boise, ID",76.2,75.0,78.0,2900,9000,ppl_or_revshare
32,Towing & Roadside,"Boise, ID",76.2,75.0,78.0,1500,150,pay_per_call
33,HVAC Repair & Install,"Phoenix, AZ",76.1,77.5,74.0,2800,6000,ppl_or_revshare
34,Mold Remediation,"Phoenix, AZ",76.1,77.5,74.0,2350,3500,pay_per_lead
35,HVAC Repair & Install,"Dallas-Fort Worth, TX",75.9,77.5,73.5,2850,6000,ppl_or_revshare
36,Mold Remediation,"Dallas-Fort Worth, TX",75.9,77.5,73.5,2400,3500,pay_per_lead
37,HVAC Repair & Install,"Huntsville, AL",75.5,77.5,72.5,2600,6000,ppl_or_revshare
38,Mold Remediation,"Huntsville, AL",75.5,77.5,72.5,2200,3500,pay_per_lead
39,HVAC Repair & Install,"Charleston, SC",75.3,77.5,72.0,2650,6000,ppl_or_revshare
40,HVAC Repair & Install,"Colorado Springs, CO",75.3,77.5,72.0,2650,6000,ppl_or_revshare
41,Mold Remediation,"Charleston, SC",75.3,77.5,72.0,2250,3500,pay_per_lead
42,Mold Remediation,"Colorado Springs, CO",75.3,77.5,72.0,2250,3500,pay_per_lead
43,Roofing (Repair & Storm),"Raleigh, NC",75.0,75.0,75.0,3050,9000,ppl_or_revshare
44,Towing & Roadside,"Raleigh, NC",75.0,75.0,75.0,1550,150,pay_per_call
45,HVAC Repair & Install,"Houston, TX",74.9,77.5,71.0,2850,6000,ppl_or_revshare
46,HVAC Repair & Install,"Tampa, FL",74.9,77.5,71.0,2750,6000,ppl_or_revshare
47,HVAC Repair & Install,"Orlando, FL",74.9,77.5,71.0,2750,6000,ppl_or_revshare
48,HVAC Repair & Install,"Charlotte, NC",74.9,77.5,71.0,2750,6000,ppl_or_revshare
49,HVAC Repair & Install,"Nashville, TN",74.9,77.5,71.0,2750,6000,ppl_or_revshare
50,HVAC Repair & Install,"San Antonio, TX",74.9,77.5,71.0,2700,6000,ppl_or_revshare
51,Mold Remediation,"Houston, TX",74.9,77.5,71.0,2400,3500,pay_per_lead
52,Mold Remediation,"Tampa, FL",74.9,77.5,71.0,2300,3500,pay_per_lead
53,Mold Remediation,"Orlando, FL",74.9,77.5,71.0,2300,3500,pay_per_lead
54,Mold Remediation,"Charlotte, NC",74.9,77.5,71.0,2300,3500,pay_per_lead
55,Mold Remediation,"Nashville, TN",74.9,77.5,71.0,2300,3500,pay_per_lead
56,Mold Remediation,"San Antonio, TX",74.9,77.5,71.0,2250,3500,pay_per_lead
57,Roofing (Repair & Storm),"Austin, TX",74.8,75.0,74.5,3100,9000,ppl_or_revshare
58,Roofing (Repair & Storm),"Cape Coral-Fort Myers, FL",74.8,75.0,74.5,2900,9000,ppl_or_revshare
59,Roofing (Repair & Storm),"Greenville, SC",74.8,75.0,74.5,2850,9000,ppl_or_revshare
60,Towing & Roadside,"Austin, TX",74.8,75.0,74.5,1550,150,pay_per_call
61,Towing & Roadside,"Cape Coral-Fort Myers, FL",74.8,75.0,74.5,1500,150,pay_per_call
62,Towing & Roadside,"Greenville, SC",74.8,75.0,74.5,1450,150,pay_per_call
63,Foundation Repair,"Boise, ID",74.7,72.5,78.0,2650,9000,flat_or_ppl
64,Tree Removal & Trimming,"Boise, ID",74.7,72.5,78.0,1850,1200,pay_per_lead
65,Garage Door Repair,"Boise, ID",74.7,72.5,78.0,1850,450,pay_per_call
66,Auto Glass & Windshield,"Boise, ID",74.7,72.5,78.0,1500,350,pay_per_call
67,Roofing (Repair & Storm),"Phoenix, AZ",74.6,75.0,74.0,3100,9000,ppl_or_revshare
68,Towing & Roadside,"Phoenix, AZ",74.6,75.0,74.0,1550,150,pay_per_call
69,Roofing (Repair & Storm),"Dallas-Fort Worth, TX",74.4,75.0,73.5,3150,9000,ppl_or_revshare
70,Towing & Roadside,"Dallas-Fort Worth, TX",74.4,75.0,73.5,1600,150,pay_per_call
71,HVAC Repair & Install,"Oklahoma City, OK",74.1,77.5,69.0,2650,6000,ppl_or_revshare
72,Mold Remediation,"Oklahoma City, OK",74.1,77.5,69.0,2250,3500,pay_per_lead
73,Roofing (Repair & Storm),"Huntsville, AL",74.0,75.0,72.5,2850,9000,ppl_or_revshare
74,Towing & Roadside,"Huntsville, AL",74.0,75.0,72.5,1450,150,pay_per_call
75,Roofing (Repair & Storm),"Charleston, SC",73.8,75.0,72.0,2900,9000,ppl_or_revshare
76,Roofing (Repair & Storm),"Colorado Springs, CO",73.8,75.0,72.0,2900,9000,ppl_or_revshare
77,Towing & Roadside,"Charleston, SC",73.8,75.0,72.0,1500,150,pay_per_call
78,Towing & Roadside,"Colorado Springs, CO",73.8,75.0,72.0,1500,150,pay_per_call
79,HVAC Repair & Install,"Atlanta, GA",73.7,77.5,68.0,2800,6000,ppl_or_revshare
80,HVAC Repair & Install,"Jacksonville, FL",73.7,77.5,68.0,2650,6000,ppl_or_revshare
81,Mold Remediation,"Atlanta, GA",73.7,77.5,68.0,2350,3500,pay_per_lead
82,Mold Remediation,"Jacksonville, FL",73.7,77.5,68.0,2250,3500,pay_per_lead
83,Foundation Repair,"Raleigh, NC",73.5,72.5,75.0,2750,9000,flat_or_ppl
84,HVAC Repair & Install,"Las Vegas, NV",73.5,77.5,67.5,2700,6000,ppl_or_revshare
85,Mold Remediation,"Las Vegas, NV",73.5,77.5,67.5,2250,3500,pay_per_lead
86,Tree Removal & Trimming,"Raleigh, NC",73.5,72.5,75.0,1950,1200,pay_per_lead
87,Garage Door Repair,"Raleigh, NC",73.5,72.5,75.0,1950,450,pay_per_call
88,Auto Glass & Windshield,"Raleigh, NC",73.5,72.5,75.0,1550,350,pay_per_call
89,Roofing (Repair & Storm),"Houston, TX",73.4,75.0,71.0,3150,9000,ppl_or_revshare
90,Roofing (Repair & Storm),"Tampa, FL",73.4,75.0,71.0,3050,9000,ppl_or_revshare
91,Roofing (Repair & Storm),"Orlando, FL",73.4,75.0,71.0,3050,9000,ppl_or_revshare
92,Roofing (Repair & Storm),"Charlotte, NC",73.4,75.0,71.0,3050,9000,ppl_or_revshare
93,Roofing (Repair & Storm),"Nashville, TN",73.4,75.0,71.0,3050,9000,ppl_or_revshare
94,Roofing (Repair & Storm),"San Antonio, TX",73.4,75.0,71.0,2950,9000,ppl_or_revshare
95,Towing & Roadside,"Houston, TX",73.4,75.0,71.0,1600,150,pay_per_call
96,Towing & Roadside,"Tampa, FL",73.4,75.0,71.0,1550,150,pay_per_call
97,Towing & Roadside,"Orlando, FL",73.4,75.0,71.0,1550,150,pay_per_call
98,Towing & Roadside,"Charlotte, NC",73.4,75.0,71.0,1550,150,pay_per_call
99,Towing & Roadside,"Nashville, TN",73.4,75.0,71.0,1550,150,pay_per_call
100,Towing & Roadside,"San Antonio, TX",73.4,75.0,71.0,1500,150,pay_per_call
101,Foundation Repair,"Austin, TX",73.3,72.5,74.5,2800,9000,flat_or_ppl
102,Foundation Repair,"Cape Coral-Fort Myers, FL",73.3,72.5,74.5,2650,9000,flat_or_ppl
103,Foundation Repair,"Greenville, SC",73.3,72.5,74.5,2600,9000,flat_or_ppl
104,Tree Removal & Trimming,"Austin, TX",73.3,72.5,74.5,1950,1200,pay_per_lead
105,Garage Door Repair,"Austin, TX",73.3,72.5,74.5,1950,450,pay_per_call
106,Tree Removal & Trimming,"Cape Coral-Fort Myers, FL",73.3,72.5,74.5,1850,1200,pay_per_lead
107,Garage Door Repair,"Cape Coral-Fort Myers, FL",73.3,72.5,74.5,1850,450,pay_per_call
108,Tree Removal & Trimming,"Greenville, SC",73.3,72.5,74.5,1800,1200,pay_per_lead
109,Garage Door Repair,"Greenville, SC",73.3,72.5,74.5,1800,450,pay_per_call
110,Auto Glass & Windshield,"Austin, TX",73.3,72.5,74.5,1550,350,pay_per_call
111,Auto Glass & Windshield,"Cape Coral-Fort Myers, FL",73.3,72.5,74.5,1500,350,pay_per_call
112,Auto Glass & Windshield,"Greenville, SC",73.3,72.5,74.5,1450,350,pay_per_call
113,Junk Removal,"Boise, ID",73.2,70.0,78.0,1100,400,flat_monthly
114,Foundation Repair,"Phoenix, AZ",73.1,72.5,74.0,2800,9000,flat_or_ppl
115,Tree Removal & Trimming,"Phoenix, AZ",73.1,72.5,74.0,1950,1200,pay_per_lead
116,Garage Door Repair,"Phoenix, AZ",73.1,72.5,74.0,1950,450,pay_per_call
117,Auto Glass & Windshield,"Phoenix, AZ",73.1,72.5,74.0,1550,350,pay_per_call
118,Foundation Repair,"Dallas-Fort Worth, TX",72.9,72.5,73.5,2850,9000,flat_or_ppl
119,Tree Removal & Trimming,"Dallas-Fort Worth, TX",72.9,72.5,73.5,2000,1200,pay_per_lead
120,Garage Door Repair,"Dallas-Fort Worth, TX",72.9,72.5,73.5,2000,450,pay_per_call
121,Auto Glass & Windshield,"Dallas-Fort Worth, TX",72.9,72.5,73.5,1600,350,pay_per_call
122,Roofing (Repair & Storm),"Oklahoma City, OK",72.6,75.0,69.0,2900,9000,ppl_or_revshare
123,Towing & Roadside,"Oklahoma City, OK",72.6,75.0,69.0,1500,150,pay_per_call
124,Foundation Repair,"Huntsville, AL",72.5,72.5,72.5,2600,9000,flat_or_ppl
125,Tree Removal & Trimming,"Huntsville, AL",72.5,72.5,72.5,1800,1200,pay_per_lead
126,Garage Door Repair,"Huntsville, AL",72.5,72.5,72.5,1800,450,pay_per_call
127,Auto Glass & Windshield,"Huntsville, AL",72.5,72.5,72.5,1450,350,pay_per_call
128,Foundation Repair,"Charleston, SC",72.3,72.5,72.0,2650,9000,flat_or_ppl
129,Foundation Repair,"Colorado Springs, CO",72.3,72.5,72.0,2650,9000,flat_or_ppl
130,Tree Removal & Trimming,"Charleston, SC",72.3,72.5,72.0,1850,1200,pay_per_lead
131,Tree Removal & Trimming,"Colorado Springs, CO",72.3,72.5,72.0,1850,1200,pay_per_lead
132,Garage Door Repair,"Charleston, SC",72.3,72.5,72.0,1850,450,pay_per_call
133,Garage Door Repair,"Colorado Springs, CO",72.3,72.5,72.0,1850,450,pay_per_call
134,Auto Glass & Windshield,"Charleston, SC",72.3,72.5,72.0,1500,350,pay_per_call
135,Auto Glass & Windshield,"Colorado Springs, CO",72.3,72.5,72.0,1500,350,pay_per_call
136,Roofing (Repair & Storm),"Atlanta, GA",72.2,75.0,68.0,3100,9000,ppl_or_revshare
137,Roofing (Repair & Storm),"Jacksonville, FL",72.2,75.0,68.0,2900,9000,ppl_or_revshare
